Snickers,2.99,11/3/2020 1:55:44 PM,Food
Dumplings,4.99,11/3/2020 1:55:44 PM,Food
Lunch,12.00,11/3/2020 1:55:44 PM,Food
Dinner,69.00,11/3/2020 1:55:44 PM,Food
Striuke is humanos,3.00,10/30/2020 1:57:48 PM,Clothing
Kelnes is humanos,2.50,10/30/2020 1:57:48 PM,Clothing
Gucci batai,100,10/30/2020 1:57:48 PM,Clothing
Degalai,30.00,10/30/2020 1:57:48 PM,Transport
Ziemines padangos#1,80.00,10/30/2020 1:57:48 PM,Transport
Ziemines padangos#2,80.00,10/30/2020 1:57:48 PM,Transport
Gym abonementas,15.00,11/1/2020 1:57:48 PM,Leisure Activities
Baseinas,10.00,11/1/2020 1:57:48 PM,Leisure Activities
Vitaminai,7.89,11/2/2020 1:57:48 PM,Health
Medkaukes,5.99,11/2/2020 1:57:48 PM,Health
Spotify,6.99,11/2/2020 1:57:48 PM,Entertainment
Medicine,47.78,9/3/2020 8:57:45 PM,Health
Batai,80.00,11/6/2020 8:42:49 AM,Clothing
